OBJECTID,PARKID,PARK,CATEGORY,SUBCATEGORY,MAP_CLASS,CIVIC_NO,STREET,OWNERSHIP,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
1,2497,KOLB GREENWAY,GREENWAY,OPEN SPACE,MINOR,,ROTHSAY AVE TO OTTAWA ST N,KITCHENER,2003-09-24,2014-05-12,OPERATIONS,2005-02-18,169285.13422546,7745.35984703316
2,2313,DINISON PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,165,DINISON CRES,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,6755.4034198,360.530897664703
3,2448,EDMUND GREEN,GREEN (PARKETTE),PLAY AREA,LOCAL,55,EDMUND RD,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,1537.25711635,305.545201753738
4,5605,UNNAMED 69,OPEN SPACE,OPEN SPACE/SWM,LOCAL,,FOREST CREEK DR,KITCHENER,2011-04-27,2013-02-20,58M-505,2010-09-17,14935.53492907,493.288308007042
5,2569,IRON HORSE TRAIL,GREENWAY,OPEN SPACE/TRAIL,LOCAL,,UNION BLVD TO OTTAWA ST S,KITCHENER,2003-09-24,2014-05-12,OPERATIONS,2016-04-21,74792.57533097,8940.83617657497
6,2412,MANSION GREEN,GREEN (PARKETTE),PLAY AREA,LOCAL,11,GORDON AVE,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,824.44071499,176.180908325846
7,2310,FOX GLOVE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,20,FOXGLOVE CRES,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,19760.93375966,738.746512893074
8,2299,RESURRECTION PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,71,RESURRECTION DR,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,20971.59920713,639.737022467857
9,3208,BANFFSHIRE PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,85,BANFFSHIRE ST,KITCHENER,2005-06-06,2015-08-23,OPERATIONS 2008 PARK AUDIT,2008-01-11,17350.30593925,872.165535832539
10,2327,CEDARHILL PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,110,CEDARHILL CRES,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,6520.09643918,391.689985600714
11,2335,SANDHILLS PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,130,CEDAR ST S,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,10226.61270853,624.300995248824
12,2366,OXFORD ST PARK,GREEN (PARKETTE),PUMPING STATION,LOCAL,291,OXFORD ST,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,2585.35552202,434.496704408884
13,2588,WATER TREATMENT CENTRE (REGION),OTHER,LIMITED ACCESS,LOCAL,368,MILL PARK RD,REGION,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,90489.45115315,5148.96626132167
14,2303,UNIROYAL-GOODRICH PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,250,GUELPH ST,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,6553.590458615,446.659037489203
15,2360,THOMAS SLEE DRIVE - SWP,NATURAL AREA,OPEN SPACE/SWM,LOCAL,,THOMAS SLEE DR,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,6413.53762823,327.592680585593
