OBJECTID,LANDMARKID,LANDMARK,CATEGORY,SUBCATEGORY,CIVIC_NO,STREET,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE
1,21,COUNTRY HILLS EVANGELICAL MISSIONARY CHURCH,CHURCH,EVANGELICAL MISSIONARY,1280,OTTAWA ST S,539533.8913,4807321.5414,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
2,171,CHURCH OF LORD JESUS CHRIST,CHURCH,APOSTOLIC,420,BRIDGEPORT RD,541131.9299,4813721.4698,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
3,227,KW OPEN BIBLE PENTECOSTAL CHURCH OF GOD,CHURCH,PENTECOSTAL ASSEMBLIES OF CANADA,25,MADISON AVE N,541985.9552,4810609.8168,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
4,36,ST PHILIP'S LUTHERAN CHURCH,CHURCH,LUTHERAN,236,WOODHAVEN RD,544133.0547,4808099.7071,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
5,10,GRANDVIEW BAPTIST CHURCH,CHURCH,BAPTIST,250,OLD CHICOPEE DR,546077.6811,4810129.8867,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
6,671,KITCHENER CHURCH OF GOD (NEW TESTAMENT),CHURCH,CHURCH OF GOD,533,WEBER ST E,543103.7951,4810225.7131,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
7,33,SEVENTH-DAY ADVENTIST CHURCH,CHURCH,SEVENTH-DAY ADVENTIST,235,WILLIAMSBURG RD,540305.4756,4806804.1056,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
8,66,NEW LIFE PENTACOSTAL ASSEMBLY,CHURCH,PENTECOSTAL ASSEMBLIES OF CANADA,570,STIRLING AVE S,540845.2796,4809253.9176,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
9,80,BETH JACOB SYNAGOGUE,SYNAGOGUE,JEWISH,161,STIRLING AVE S,541911.277,4810041.221,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
10,8,HOPE LUTHERAN CHURCH,CHURCH,LUTHERAN,30,SHAFTSBURY DR,545915.7086,4811391.042,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
11,59,HIGHVIEW COMMUNITY CHURCH,CHURCH,COMMUNITY CHURCH,295,HIGHVIEW DR,536179.7873,4806906.9432,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
12,51,NORTHSIDE COMMUNITY CHURCH,CHURCH,ASSOCIATED GOSPEL,55,LEONARD ST,541501.2964,4812743.4529,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
13,97,OUR LADY OF FATIMA,CHURCH,ROMAN CATHOLIC,300,SIMEON ST,542659.6048,4810578.5308,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
14,44,TRINITY UNITED CHURCH,CHURCH,UNITED,74,FREDERICK ST,541494.3281,4811016.2383,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
15,102,ST MARY'S CHURCH,CHURCH,ROMAN CATHOLIC,56,DUKE ST W,541234.6648,4811169.975,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
16,47,GRACE LUTHERAN CHURCH,CHURCH,LUTHERAN,136,MARGARET AVE,541220.3932,4812027.0285,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
