OBJECTID,LANDMARKID,LANDMARK,CATEGORY,CIVIC_NO,STREET,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,X_COORD,Y_COORD
1,2832,STANLEY PARK MAJOR TRANSFER POINT,PUBLIC TRANSPORTATION,1005,OTTAWA ST N,2004-02-13,2015-09-15,WWW.GRT.CA,2016-05-10,544989.2896,4810817.5728
2,2821,HIGHLAND HILLS TRANSIT TERMINAL,PUBLIC TRANSPORTATION,875,FISHER HALLMAN RD,2004-02-13,2015-09-15,WWW.GRT.CA,2016-05-10,538413.7511,4808733.6217
3,2815,FOREST GLEN TRANSIT TERMINAL,PUBLIC TRANSPORTATION,700,STRASBURG RD,2004-02-13,2015-09-15,WWW.GRT.CA,2004-02-12,542194.0417,4806934.8404
4,434,GRAND RIVER TRANSIT - CHARLES STREET TRANSIT TERMINAL,PUBLIC TRANSPORTATION,15,CHARLES ST W,2016-05-10,2015-09-15,WWW.GRT.CA,2016-05-10,541063.6429,4810843.3601
5,2811,FAIRVIEW TRANSIT TERMINAL,PUBLIC TRANSPORTATION,2960,KINGSWAY DR,2004-02-13,2015-09-15,WWW.GRT.CA,2016-05-10,545236.5462,4807947.5792
6,6092,THE BOATHOUSE,TOURIST,57,JUBILEE DR,2012-10-25,2015-03-04,,2016-05-10,540810.5303,4810594.6246
7,5818,KARLSBERGHAUS (THE AUD),FESTHALLS,400,EAST AVE,2011-08-12,2015-03-24,http://www.oktoberfest.ca/Festhallen,2011-08-11,543060.4802,4810583.7197
8,5817,HANS HAUS / OKTOBERFEST HAUS (OUTDOOR TENT),FESTHALLS,17,BENTON ST,2011-08-12,2015-03-24,http://www.oktoberfest.ca/Festhallen,2011-08-11,541441.8568,4810747.3638
9,5814,ALTES MUENCHEN HAUS (QUEENSMOUNT ARENA),FESTHALLS,1260,QUEENS BLVD,2011-08-12,2015-03-24,http://www.oktoberfest.ca/Festhallen,2011-08-11,539417.9005,4809121.3568
10,7933,BINGEMANS KOOL HAUS,FESTHALLS,425,BINGEMAN CENTRE DR,2015-04-02,2015-04-02,http://www.oktoberfest.ca/Festhallen,2016-05-10,544266.8803,4813708.4732
11,4589,CENOTAPH,TOURIST,15,DUKE ST E,2007-01-05,2014-08-29,ARTS AND CULTURE,2007-01-05,541481.9993,4810938.7977
12,276,PIONEER MEMORIAL TOWER,TOURIST,300,LOOKOUT LANE,2016-05-10,2014-08-29,,2016-05-10,547271.1807,4805417.2832
13,2722,CANOEING THE GRAND,TOURIST,3734,KING ST E,2004-01-09,2014-08-29,WWW.KW-VISITOR.ON.CA,2016-05-10,547793.4009,4807733.5923
