OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,X_COORD,Y_COORD,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY
1,228,ST. DOMINIC SAVIO CATHOLIC SCHOOL,3,WESTFOREST TRAIL,537233.1671,4809086.0101,WWW.WCDSB.CA,2006-01-12,ELEMENTARY,ELEMENTARY SCHOOL
2,152,QUEENSMOUNT SENIOR PUBLIC SCHOOL,21,WESTMOUNT RD W,539557.2961,4809118.1604,WWW.WRDSB.CA,2006-01-12,ELEMENTARY,SENIOR ELEMENTARY SCHOOL
3,134,TRILLIUM PUBLIC SCHOOL,79,LAURENTIAN DR,540751.9995,4807330.3291,WWW.WRDSB.CA,2006-01-12,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL
4,117,ST. DANIEL CATHOLIC SCHOOL,39,MIDLAND DR,544610.6211,4810753.6279,WWW.WCDSB.CA,2006-01-12,ELEMENTARY,ELEMENTARY SCHOOL
5,166,RESURRECTION CATHOLIC SECONDARY SCHOOL,455,UNIVERSITY AVE W,536675.3865,4809874.0896,WWW.WCDSB.CA,2006-01-12,SECONDARY,SECONDARY SCHOOL
6,950,ST. MARY'S CATHOLIC HIGH SCHOOL,1500,BLOCK LINE RD,543162.1701,4807622.3677,WWW.WCDSB.CA,2006-01-12,SECONDARY,SECONDARY SCHOOL
7,123,OUR LADY OF GRACE CATHOLIC SCHOOL,70,GRACEFIELD CRES,542242.3833,4807571.4996,WWW.WCDSB.CA,2006-01-12,ELEMENTARY,ELEMENTARY SCHOOL
8,133,MSGR. R.M. HALLER CATHOLIC SCHOOL,118,SHEA CRES,541056.3721,4807418.0854,WWW.WCDSB.CA,2013-09-04,ELEMENTARY,ELEMENTARY SCHOOL
9,156,ST. BERNADETTE CATHOLIC SCHOOL,245,LORNE AVE,541116.5267,4809132.1708,WWW.WCDSB.CA,2006-01-12,ELEMENTARY,ELEMENTARY SCHOOL
10,288,ST. ANNE CATHOLIC SCHOOL,250,EAST AVE,542845.7148,4811032.5852,WWW.WCDSB.CA,2006-01-12,ELEMENTARY,ELEMENTARY SCHOOL
