OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
1,7235,ALPINE PUBLIC SCHOOL SOCCER FIELD,75,LUCERNE DR,,542036.2393,4807522.3556,2014-07-29,2015-09-09,ORTHO 2012,2012-04-01,1742.69989845,210.8204
2,7652,BRIGADOON PUBLIC SCHOOL SOCCER FIELD,415,CARYNDALE DR,PRIVATE,544086.3182,4803744.4153,2015-02-25,2015-09-09,ORTHO 2014,2014-04-01,516.857661445,119.327963350919
3,8016,LAURENTIAN HILLS CHRISTIAN SCHOOL SOCCER FIELD,11,LAURENTIAN DR,PRIVATE,540498.1032,4807226.7916,2015-04-20,2015-09-09,,2016-05-10,2162.159994125,200.625125541432
4,8272,NEW UNNAMED ELEMENTARY SCHOOL ,225,THOMAS SLEE DR,SCHOOL BOARD,545405.7312,4802207.9902,2015-06-09,2015-09-09,SP14091TGS,2015-01-28,1254.84205062,146.343346902044
5,6914,OUR LADY OF GRACE CATHOLIC SCHOOL SOCCER FIELD,70,GRACEFIELD CRES,SCHOOL BOARD,542188.1186,4807506.9433,2014-02-18,2015-09-09,ORTHO 2012,2012-04-01,970.37979576,141.605769550874
6,8273,NEW UNNAMED ELEMENTARY SCHOOL ,225,THOMAS SLEE DR,SCHOOL BOARD,545453.9913,4802220.0291,2015-06-09,2015-09-09,SP14091TGS,2015-01-28,1254.84205265,146.34329849309
7,8274,NEW UNNAMED ELEMENTARY SCHOOL ,225,THOMAS SLEE DR,SCHOOL BOARD,545353.2293,4802219.9422,2015-06-09,2015-09-09,SP14091TGS,2015-01-28,3151.86949412,234.06946387242
8,391,COUNTRYSIDE PARK SOCCER FIELD-2,175,COUNTRYSIDE CRES,KITCHENER,541945.212,4806380.161,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2651.416785,212.761429023342
9,748,COUNTRYSIDE PARK SOCCER FIELD-1,175,COUNTRYSIDE CRES,KITCHENER,541928.215,4806342.943,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2651.404767,212.7611020584
10,409,MONTGOMERY PARK SOCCER FIELD,135,MONTGOMERY RD,KITCHENER,543869.002,4809762.131,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6442.332885,342.173160621153
11,375,FISCHER PARK LOWER SOCCER FIELD,247,FISCHER HALLMAN RD,KITCHENER,538376.815,4808401.172,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4375.954677,275.516061969539
12,906,FISCHER PARK UPPER SOCCER FIELD,247,FISCHER HALLMAN RD,KITCHENER,538439.785,4808418.427,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4446.1185195,279.002918372419
13,2189,FILSINGER PARK WESK SOCCER FIELD,805,VICTORIA ST S,KITCHENER,538557.254,4809441.258,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2890.392412,237.070490985154
14,3122,LACKNER WOODS PUBLIC SCHOOL SOCCER FIELD,151,ZELLER DR,SCHOOL BOARD,547099.998,4811165.2,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4789.822939,289.793950063121
15,4066,BUDD PARK SOCCER FIELD-3,1111,HOMER WATSON BLVD,KITCHENER,544213.253,4805597.707,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,7476.2715265,360.345471635588
16,4067,BUDD PARK SOCCER FIELD-4,1111,HOMER WATSON BLVD,KITCHENER,544293.791,4805623.969,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,7812.40932,363.750314645124
17,4068,BUDD PARK SOCCER FIELD-6,1111,HOMER WATSON BLVD,KITCHENER,544318.169,4805767.998,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6748.036537,339.942812025212
