OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE
1,1730,GEORGE LIPPERT PARK TENNIS COURT,200,WEBER ST W,KITCHENER,540792.6108,4811865.6237,2003-06-03,2016-02-26,ORTHO 2012,2012-04-01
2,581,WEBER PARK TENNIS COURT,380,FREDERICK ST ,KITCHENER,542495.5398,4811793.1558,2006-01-19,2016-02-29,ORTHO 2012,2012-04-01
3,584,EBY PARK TENNIS COURT ,137,HOLBORN DR,KITCHENER,545538.5389,4811079.2537,2006-01-19,2014-05-28,ORTHO 2012,2012-04-01
4,574,HIGHLAND COURT TENNIS COURT,120,HIGHLAND RD E,KITCHENER,541035.462,4809814.8106,2006-01-19,2014-05-28,ORTHO 2012,2012-04-01
5,577,BELMONT PARK TENNIS COURT,285,BELMONT AVE W,KITCHENER,539508.2626,4810053.863,2006-01-19,2014-05-28,ORTHO 2012,2012-04-01
6,585,MONTGOMERY PARK TENNIS COURT,135,MONTGOMERY RD,KITCHENER,543926.0709,4809812.5187,2006-01-19,2014-05-28,ORTHO 2012,2012-04-01
7,583,MARGARET AVENUE TENNIS COURT,325,LOUISA ST,KITCHENER,541311.5058,4811941.3557,2006-01-19,2014-05-28,ORTHO 2012,2012-04-01
8,1690,COUNTRY HILLS PARK TENNIS COURT,365,COUNTRY HILL DR,KITCHENER,543085.4625,4806745.0358,2003-06-02,2014-05-28,ORTHO 2012,2012-04-01
9,1656,ADMIRAL PARK TENNIS COURT,93,ROXBOROUGH AVE,KITCHENER,539862.6514,4809491.6555,2003-06-02,2014-05-28,ORTHO 2012,2012-04-01
10,1676,BUDD PARK TENNIS COURT,1111,HOMER WATSON BLVD,KITCHENER,544229.2833,4805540.689,2003-06-02,2014-05-28,ORTHO 2012,2012-04-01
11,1710,GLENDALE PARK TENNIS COURT,130,GLEN RD,KITCHENER,540688.4033,4809502.8515,2003-06-03,2014-05-28,ORTHO 2012,2012-04-01
12,5213,RESURRECTION HIGH SCHOOL TENNIS COURT,455,UNIVERSITY AVE W,SCHOOL BOARD,536674.11,4809689.695,2008-06-18,2014-05-28,ORTHO 2012,2012-04-01
13,5219,FOREST HEIGHTS C.I. TENNIS COURT,255,FISCHER HALLMAN RD,SCHOOL BOARD,538534.039,4808324.6371,2008-06-18,2014-05-28,ORTHO 2012,2012-04-01
14,5220,HERITAGE PARK TENNIS COURT,30,HALIFAX DR,KITCHENER,544743.0294,4812377.0106,2008-06-18,2014-05-28,ORTHO 2012,2012-04-01
15,5218,FRANKLIN PARK TENNIS COURT,371,FRANKLIN ST N,KITCHENER,544802.6306,4810321.5011,2008-06-18,2014-05-28,ORTHO 2012,2012-04-01
16,5221,SUNNYSIDE PUBLIC SCHOOL TENNIS COURT,1042,WEBER ST E,SCHOOL BOARD,544397.8933,4809503.656,2008-06-18,2014-05-28,ORTHO 2012,2012-04-01
17,5222,STANLEY PARK SENIOR PUBLIC SCHOOL TENNIS COURT,191,HICKSON DR,SCHOOL BOARD,544580.7018,4811309.5042,2008-06-18,2014-05-28,ORTHO 2012,2012-04-01
18,591,KAUFMAN PARK TENNIS COURT,104,STIRLING AVE S,KITCHENER,541972.0234,4810171.5758,2006-01-19,2014-05-28,ORTHO 2012,2012-04-01
19,7692,UNIFOR LOCAL 1524 TENNIS COURT,600,WABANAKI DR,PRIVATE,544868.9274,4806588.5191,2015-03-05,2015-03-05,ORTHO 2014,2014-04-01
