OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
1,363,DOON PUBLIC SCHOOL BALL DIAMOND,1401,DOON VILLAGE RD,PRIVATE,546821.719,4804087.813,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2254.51917773,190.57742740236
2,735,BRIDGEPORT SPORTSFIELDS BALL DIAMOND-3,70,BRIDGE ST E,KITCHENER,542369.376,4814166.864,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4974.36422232,281.274809941787
3,752,DRIFTWOOD PARK PUBLIC SCHOOL BALL DIAMOND-2,50,PARKLAND CRES,PRIVATE,537394.033,4806758.709,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2692.345673555,216.851398275914
4,323,PIONEER PARK SCHOOL BALL DIAMOND,55,UPPER CANADA DR,PRIVATE,545043.504,4804952.495,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2091.362712905,189.063464137936
5,311,SOUTHRIDGE SCHOOL BALL DIAMOND,1425,QUEENS BLVD,PRIVATE,539038.151,4808534.375,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2439.345108315,190.527924476861
6,811,WILSON PARK BALL DIAMOND-3,72,WILSON AVE,KITCHENER,543831.713,4808775.603,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3820.63780961,240.243698245406
7,729,BIEHN PARK MINI BALL DIAMOND,135,PIONEER DR,KITCHENER,545742.988,4804672.943,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1155.57338971,133.053547139897
8,812,WILSON PARK BALL DIAMOND-4,72,WILSON AVE,KITCHENER,543814.886,4808797.462,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2131.570231395,179.493804741302
9,340,WILSON PARK BALL DIAMOND-1,72,WILSON AVE,KITCHENER,543897.403,4808482.439,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6147.568359985,299.453212842921
10,784,PETER HALLMAN BALL YARD - BALL DIAMOND-3,220,HAYWARD AVE,KITCHENER,543224.438,4807902.664,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,8310.240626235,359.69752876811
11,732,BREITHAUPT PARK BALL DIAMOND-1,350,UNION ST,KITCHENER,540947.351,4812795.715,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5577.408767855,286.343211784935
12,341,ROCKWAY PUBLIC SCHOOL BALL DIAMOND-1,70,VANIER DR,PRIVATE,543470.124,4808696.863,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,429.5965295,92.5922211875716
13,367,HILLSIDE PARK BALL DIAMOND,15,ST VINCENT ST,KITCHENER,541606.384,4812349.516,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3371.3089266,219.315626704089
14,300,A.R. KAUFMAN PUBLIC SCHOOL BALL DIAMOND,11,CHOPIN DR,PRIVATE,538566.206,4810028.765,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1817.074797265,165.349699565874
15,366,SOUTHWEST OPTIMIST SPORTSFIELD BALL DIAMOND-5,120,PIONEER DR,KITCHENER,545861.251,4804790.138,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2838.986359355,200.818129993054
16,305,LYNNVALLEY PARK BALL DIAMOND,26,LYNNVALLEY CRES,KITCHENER,536997.47,4809525.007,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3133.00342588,228.416555423704
17,740,KAUFMAN PARK BALL DIAMOND-2,104,STIRLING AVE S,KITCHENER,541823.755,4810055.037,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2847.24982597,234.335014983771
18,303,EASTFOREST PARK BALL DIAMOND-1,140,EASTFOREST TRAIL,KITCHENER,537515.936,4808988.363,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6770.20093874,324.050947629311
19,778,MONSIGNOR GLEASON SCHOOL BALL DIAMOND,155,WESTWOOD DR,PRIVATE,538011.831,4810258.311,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2801.19599821,208.601787805511
20,312,TRAILVIEW PARK  BALL DIAMOND,21,TRAILVIEW DR,KITCHENER,537947.325,4808108.3,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1747.77318589,169.01474715211
21,351,MIDLAND PARK BALL DIAMOND,39,MIDLAND DR,KITCHENER,544597.044,4810583.023,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3770.948532985,240.272443936274
22,360,ST ANNE SEPERATE SCHOOL BALL DIAMOND,250,EAST AVE,PRIVATE,542857.607,4811081.505,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2032.6915555,187.328203764764
23,338,PETER HALLMAN BALL YARD - BALL DIAMOND-1,220,HAYWARD AVE,KITCHENER,543140.855,4808042.025,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,8501.715899795,371.070975249501
24,331,RITTENHOUSE PARK  BALL DIAMOND,345,RITTENHOUSE RD,KITCHENER,541115.31,4806146.843,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6575.312359555,337.24591883512
25,357,CANADIAN MARTYRS SEPARATE SCHOOL BALL DIAMOND-2,50,CONFEDERATION DR,PRIVATE,544693.789,4812175.344,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1590.91658973,156.837025463391
26,6946,ST ALOYSIUS SCHOOL BALL DIAMOND 2,504,CONNAUGHT ST,PRIVATE,544829.7904,4808571.7297,2014-02-19,2015-09-09,2012 ORTHO,2012-04-01,592.98688179,90.1046694700945
