OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
1,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,1,25.7472630896956
2,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2,21.0950604350876
3,TRAIL,DRIVEWAY CONNECTION,SURFACE,GRAVEL,0,FLAT,ORTHO 2014,2014-05-15,3,2.68464329101652
4,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,4,116.879823211538
5,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,5,209.475120435333
6,LINK,PED AND BIKE LINK,,CONCRETE,1.5,N,,2016-04-19,6,4.68438355069266
7,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7,142.268898402382
8,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,8,18.0810311724746
9,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,9,97.6011419203964
10,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,10,264.366463456355
11,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,11,7.99581326507817
12,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,12,18.3117684481865
13,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,13,197.295650606088
14,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,14,80.2918675598282
15,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,15,99.4224751794926
16,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,16,172.600258914923
17,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,17,13.281761362485
18,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,18,137.502910363563
19,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2007-03-05,19,57.8834535363086
20,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,20,10.8243231164817
21,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,STEEP,CCL TRAIL,2010-09-01,21,61.0444042109822
22,TRAIL,MULTI-USE PATHWAY,SURFACE,GRAVEL,2,STEEP,TO INPUT,2010-09-01,22,168.775228094319
23,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,23,19.538069967374
24,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2016-04-19,24,92.1200665966409
25,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,2.5,STEEP,2015 TRAIL INVENTORY PROJECT,2015-10-01,25,3.33792942555711
26,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,26,195.64330406615
27,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,27,7.8243959511262
28,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,28,33.7863462306904
29,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,29,18.207953150478
30,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,30,79.6218818394784
31,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,31,37.9384083326421
32,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,32,16.6397430391818
33,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,33,152.279153144089
34,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,34,16.2411525114445
35,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,35,78.250896963102
36,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,36,17.3183745345803
37,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,37,18.5399432202475
38,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,FLAT,ORTHO 2014,2014-05-15,38,34.5619511378088
39,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,39,16.8962148178224
40,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,40,18.7558501812101
41,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,41,155.355414220561
42,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,42,6.61188806998425
43,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,43,101.46562010701
44,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,44,124.34666165732
45,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,45,19.3559875989318
46,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,46,13.4040207792289
47,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,47,162.316454342239
48,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,48,90.1864839360801
49,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,49,21.985395412637
50,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,,2016-04-19,50,18.0544688728304
