OBJECTID,PARK_NAME,ADDRESS,PARK_TYPE,CLASS,HECTARES,PLAYGROUND,BRIDGES,BENCHES,TRASH_CANS,BIKE_RACK,TENNIS_CRT,DIAMOND,FIELDS,BASKETBALL,CRICKET,RINKS,TOBOGGAN,WATER_SVC,HYDRO,WASHROOM,IRRIGATION,NBHD_ASSN,AREA_M
2453,Laurelwood SWM Area,335 LAURELWOOD DR,SWM Ponds,8,1.60785,0,0,2,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,16078.502635
2454,Ainsworth Park,501 KEATS WAY,Linear Parks and Links,5,1.005172,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,10051.717623
2455,Tealby SWM Area,308 TEALBY CRES,SWM Ponds,8,0.330639,0,0,0,NO,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,3306.389104
2456,Belgreen Park,451 BELGREEN WAY,Linear Parks and Links,5,1.342903,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,13429.034766
2457,Bonn Park # 3,726 KARLSFELD RD,Neighbourhood Parks,4,0.100343,1,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,,1003.427102
2458,Bluenose Link,613 BLUENOSE CRES,Linear Parks and Links,5,0.366437,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,3664.365144
2459,Pelham Park,629 PELHAM ST,Neighbourhood Parks,4,0.045059,0,0,2,NO,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,450.590709
2460,Cornerbrook Park,137 CORNERBROOK CRES,Neighbourhood Parks,4,1.068529,1,0,3,YES,0,0,0,0,0,0,YES,1,YES,NO,0,0,YES,10685.28995
2461,Winchester SWM Area,25 FISCHER-HALLMAN RD N,SWM Ponds,8,1.891262,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,18912.6211
2462,Y-Library,500 FISCHER-HALLMAN RD N,Special Agreement Parkland,9,2.465527,0,0,0,NO,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,24655.266343
2463,Auburn Link,186 BRIDGE ST W,Linear Parks and Links,5,0.203246,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,2032.464093
2464,Regina Lot,30 REGINA ST S,Works Parks and Facilities,10,0.383214,0,0,0,NO,0,0,0,0,0,0,NO,0,NO,NO,0,0,,3832.144442
2465,Waterloo Recreation Complex,101 FATHER DAVID BAUER DR,Community Parks,2,5.411209,0,0,1,NO,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,54112.0875
2466,Blue Beech Square,685 LAURELWOOD DR,Neighbourhood Parks,4,0.379119,0,0,2,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,3791.190442
2467,Parkview Cemetery,335 UNIVERISTY AVE,Works Parks and Facilities,10,10.703612,0,0,0,,0,0,0,0,0,0,NO,0,YES,YES,0,0,,137456.087587
2468,Vista Hills Hydro Corridor,,Special Agreement Parkland,9,1.328783,0,0,0,NO,0,0,0,0,0,0,NO,0,NO,NO,0,0,,20618.958758
2469,Black Cherry Park,699 BLACK CHERRY ST,Neighbourhood Parks,4,0.387842,1,0,2,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,YES,3878.418847
2470,CN Green,200 BEARINGER RD,Special Agreement Parkland,9,0.33751,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,3375.102991
2471,Anndale Green,580 DAVENPORT RD,Linear Parks and Links,5,0.325698,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,3256.978429
2472,William Green,65 WILLIAM ST E ,Neighbourhood Parks,4,0.04196,0,0,0,NO,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,419.597286
2473,Carriage Way Park,216 CARRIAGE WAY,Neighbourhood Parks,4,0.763461,1,0,2,YES,1,0,0,0,0,0,YES,0,YES,YES,0,0,YES,7634.609487
2474,Bearinger Park,505 GLEN FORREST BLVD,Neighbourhood Parks,4,0.309544,0,0,1,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,3095.4447
2475,Kingscourt Park,385 KINGSCOURT DR,Neighbourhood Parks,4,2.158512,1,0,2,YES,0,0,1,0,0,0,NO,0,YES,YES,0,0,NO,21585.12105
2476,Forest Gate SWM Area,575 FOREST GATE CRES,SWM Ponds,8,0.429839,0,0,0,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,,4298.391687
2477,Lookout Park,872 MUNICH CIR,Neighbourhood Parks,4,0.373563,0,0,2,YES,0,0,0,0,0,0,NO,0,NO,NO,0,0,NO,3735.628396
