X,Y,OBJECTID,FACILITY,ADDRESS,OWNER,TYPE,LONGITUDE,LATITUDE,CreationDate,Creator,EditDate,Editor
-80.525935795999942,43.46429036,1,Manulife Clock Tower,,City of Waterloo,Arts or Culture,-80.5259357959568,43.4642903604384,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.52840467599998,43.463327398000018,2,Delta Waterloo,110 ERB ST W,Private,Accomodation,-80.5284046761824,43.4633273981395,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.488925609999967,43.482410067000018,3,Bechtel Dog Park,185 BRIDGE ST W,City of Waterloo,Leisure,-80.4889256097499,43.4824100669008,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.512323,43.456395782000016,4,Grand River Hospital,835 KING ST W,Private,,-80.5123230001595,43.4563957824353,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.528592511999989,43.468657522000029,5,Cricket Oval,,City of Waterloo,Sports or Recreation,-80.5285925122844,43.46865752215,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.494342145999951,43.516830237000022,6,Elam Martin Farmstead,2002 UNIVERSITY AVE E,City of Waterloo,Arts or Culture,-80.494342146112,43.5168302371111,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.526855854999951,43.464454606,7,Visitor and Heritage Information Centre,,City of Waterloo,Arts or Culture,-80.5268558545093,43.4644546059501,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.527081185999975,43.464518219000013,8,Waterloo - St. Jacob Railway Station,,City of Waterloo,Arts or Culture,-80.5270811859427,43.464518219106,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.603738015999966,43.479141846,9,Erbsville Centre,719 ERBSVILLE RD,City of Waterloo,Community Centre,-80.6037380158979,43.4791418462934,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.51093051099997,43.459559681,10,Mount Hope Cemetery,83 ROGER ST,City of Waterloo,Cemetery,-80.5109305113846,43.4595596811796,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.517196619999936,43.47739826900002,11,Waterloo Fire Department (Station 1),216 WEBER ST N,City of Waterloo,Fire Hall,-80.5171966196186,43.4773982691337,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.571297262999963,43.466221719,12,Waterloo Fire Department Headquarters (Station 2),470 COLUMBIA ST W,City of Waterloo,Fire Hall,-80.5712972625095,43.4662217188664,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.544591835999938,43.497799327000024,13,Waterloo Fire Department (Station 3),150 NORTHFIELD DR,City of Waterloo,Fire Hall,-80.5445918364488,43.4977993273941,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.512738057999968,43.489808647000018,14,Waterloo Service Centre,265 LEXINGTON CRT,City of Waterloo,City Administration,-80.5127380580611,43.4898086468399,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.526689407999982,43.496680512000012,15,City of Waterloo Museum at Conestoga Mall,550 KING ST N,City of Waterloo,Arts or Culture,-80.5266894076323,43.496680512464,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.491953516999956,43.516834615000022,16,Grey Silo Golf Course,2001 UNIVERSITY AVE E,City of Waterloo,Golf Course,-80.4919535170447,43.5168346152761,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.49815560199994,43.514001372000024,17,Waterloo Fire Department (Station 4),911 UNIVERSITY AVE E,City of Waterloo,Fire Hall,-80.4981556020659,43.5140013717193,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.522378354999944,43.463961457000011,18,Public Square,,City of Waterloo,Arts or Culture,-80.5223783547466,43.4639614573341,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.521200489999956,43.464309624,19,Button Factory (Community Arts Centre),25 REGINA ST S,City of Waterloo,Arts or Culture,-80.5212004900619,43.4643096240027,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.520160317999967,43.463301035000029,20,Waterloo City Hall (City Centre),100 REGINA ST S,City of Waterloo,City Administration,-80.5201603180232,43.4633010349791,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.532578566999973,43.464147834000016,21,Waterloo Memorial Recreation Complex,101 FATHER DAVID BAUER DR,City of Waterloo,Sports or Recreation,-80.5325785666441,43.4641478339575,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.532803654999952,43.466766429000018,22,Waterloo Park,WESTMOUNT RD N,City of Waterloo,Sports or Recreation,-80.5328036545762,43.466766429417,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.511058057999946,43.474064927000029,23,Moses Springer Community Centre,150 LINCOLN RD,City of Waterloo,Community Centre,-80.5110580581431,43.4740649270242,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.544625767999946,43.488893694000012,24,Albert McCormick Community Centre,500 PARKSIDE DR,City of Waterloo,Community Centre,-80.5446257682401,43.4888936937218,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.491774902999964,43.484414124000011,25,Bechtel Park and Stadium,185 BRIDGE ST,City of Waterloo,Sports or Recreation,-80.4917749025694,43.4844141241912,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.538226401999964,43.494500459000022,26,Wing 404 RCAFA Rotary Adult Centre,510 DUTTON DR,City of Waterloo,Community Centre,-80.5382264016374,43.4945004585882,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.51972912399998,43.460257781000024,27,Adult Recreation Centre,185 KING ST S,City of Waterloo,Community Centre,-80.5197291235426,43.4602577808347,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.518203700999948,43.48457188,28,Hillside Park,352 MARSLAND DR,City of Waterloo,Sports or Recreation,-80.5182037008152,43.4845718798422,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.493102954999983,43.485846146000029,29,Manulife Financial Soccer and Sports Centre,185 BRIDGE ST,City of Waterloo,Sports or Recreation,-80.4931029546136,43.4858461463127,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.502209952999976,43.519401878000025,30,RIM Park Manulife Financial Sportsplex,2001 UNIVERSITY AVE E,City of Waterloo,Sports or Recreation,-80.5022099528449,43.5194018778784,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.495687172999965,43.486819448,31,Parkview Cemetery,335 UNIVERSITY AVE W,City of Waterloo,Cemetery,-80.4956871728807,43.4868194480385,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
