X,Y,OBJECTID,NAME,TYPE,ADDRESS,URL,ARENA,BALL_DIAMOND,BASKETBALL_COURT,CRICKET_PITCH,GYMNASIUM,SPORT_FIELD_INDOOR,SPORT_FIELD_OUTDOOR,PARK_SPACE,PICNIC_AREA,PLAYGROUND,SPLASH_PAD,SWIMMING_POOL_INDOOR,SWIMMING_POOL_OUTDOOR,TENNIS_COURT,TRACK_INDOOR,TRACK_OUTDOOR
-80.532010077973311,43.467150778690332,1,Waterloo Park,Park,50 Young St W,http://www.waterloo.ca/en/gettingactive/waterloopark.asp,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
-80.532624566756667,43.464095100264316,2,Waterloo Memorial Recreation Complex,Facility,101 Father David Bauer Dr,http://www.waterloo.ca/en/gettingactive/waterloomemorialrecreationcomplex.asp,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
-80.511051513884084,43.474047757314509,3,Moses Springer Community Centre,Facility,150 Lincoln Rd,http://www.waterloo.ca/en/gettingactive/mosesspringercommunitycentre.asp,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No
-80.493107312397953,43.48578935605039,4,Manulife Financial Soccer and Sports Centre,Facility,185 Bridge St,http://www.waterloo.ca/en/gettingactive/bechtelpark.asp,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No
-80.502217915219191,43.519418121833098,5,RIM Park Manulife Financial Sportsplex,Facility,2001 University Ave E,http://www.waterloo.ca/en/gettingactive/rimpark.asp,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.544659937614838,43.488902441571774,6,Albert McCormick Community Centre,Facility,500 Parkside Dr,http://www.waterloo.ca/en/gettingactive/albertmccormickcommunitycentre.asp,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.547518309693885,43.487746153392905,7,Heasley Park,Park,455 Parkside Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
-80.517704150148717,43.484568039369357,8,Hillside Park,Park,352 Marsland Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.521263138758371,43.487469492768035,9,Forwell Park,Park,244 Dearborn Blvd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.523069782919819,43.495448955201269,10,Kingscourt Park,Park,385 Kingscourt Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.502145397445943,43.493429361703363,11,Dunvegan Park,Park,362 Dunvegan Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
-80.493790955415818,43.49384644924254,12,Auburn Park,Park,316 Auburn Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.489549139579893,43.489370055200673,13,University Downs Park,Park,240 Auburn Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.484304485356517,43.488170505139664,14,Exmoor Park,Park,448 Exmoor St,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.4828318573296,43.493182735635493,15,Carriage Way Park,Park,216 Carriage Way,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.495864953280048,43.499979276502138,16,Wintermeyer Park,Park,495 Forestlawn Rd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
