X,Y,PARK_NAME,LIGHTING,ACTIVE,DESC_,PDF_SCHEDULE,OBJECTID,CreationDate,Creator,EditDate,Editor
-80.516719112999965,43.498848829000025,Anndale Park,,Yes,Anndale park outdoor rink is located off Old Abbey Road. ,http://www.waterloo.ca/en/contentresources/resources/gettingactive/anndale_outdoorrink.pdf,1,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.501446826999938,43.508894898000023,Bluenose Park,,Yes,"The Bluenose community outdoor rink is located in Bluenose Park in Waterloo, ON. Entrances off Bluenose Court and Eastbridge Boulevard.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/bluenose_outdoorrink.pdf,2,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.516788948999988,43.495652515000018,Bluestream Park,,Yes,"Entrances off Bluestream Road, Hunterswood Court and Abbotswood Court.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/bluestream_outdoorrink.pdf,3,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.567894309999986,43.492266984000025,Cornerbrook Park,,Yes,"The Cornerbrook community outdoor rink is located in Cornerbrook Park in Waterloo, ON. Entrances off Westmount Road North, Sunpoint Crescent and Cornerbrook Place.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/cornerbrook_outdoorrink.pdf,4,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.54169077399996,43.455290991000027,Culpepper Park,,Yes,"The Culpepper community outdoor rink is located in Culpepper Park in Waterloo, ON.  Entrances off Mulberry Lane, at the end of Culpepper Drive and behind Beechwood Manor.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/culpepper_outdoorrink.pdf,5,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.501261889999967,43.493042728,Dunvegan Park,,Yes,"The Dunvegan community outdoor rink is located in Dunvegan Park in Waterloo, ON.  Entrances off Dunvegan Drive, with additional entrance from Concordia Crescent.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/dunvegan_outdoorrink.pdf,6,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.51515421299996,43.512790141000011,Haida Park,,Yes,"The Haida community outdoor rink is located in Waterloo, ON.  Entrances at the bend in Breakwater Crescent and the bend in Chesapeake Crescent.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/haida_outdoorrink.pdf,7,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.514917723999986,43.463209154000026,Mary Allen Park,,Yes,"The Mary Allen outdoor community rink is located Mary Allen Park in Waterloo, ON.  Entrance is off Allen Street East near Willow Street.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/maryallen_outdoorrink.pdf,8,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.562644693999971,43.452713136000028,McCrae Park,,Yes,"The McCrae community outdoor rink is located in McCrae Park in Waterloo, ON.  Entrances off Beechwood Drive and Sandford Fleming Drive.",http://www.waterloo.ca/en/contentresources/resources/gettingactive/mcrae_outdoorrink.pdf,9,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
-80.529740317999938,43.45806317,Joesph J. Voisin,,Yes,"Entrances from Alexandra Ave, Roslin Ave and Lourdes St. ",http://www.waterloo.ca/en/contentresources/resources/gettingactive/JoeVoisin_OutdoorRink.pdf,10,2015-09-23T12:35:47.097Z,OpenData_Waterloo,2015-09-23T12:35:47.097Z,OpenData_Waterloo
