X,Y,OBJECTID,ADDRESS,NAME,TYPE,CLASS,URL,LONGITUDE,LATITUDE
-80.512020875999951,43.464660590000051,1,90 MOORE AVE S,Elizabeth Ziegler Public School,PUBLIC,ELEMENTARY,http://elz.wrdsb.ca,-80.5120208762024,43.4646605901428
-80.502222485999937,43.47390247800007,2,254 NEILSON AVE,St. Agnes Catholic School,CATHOLIC,ELEMENTARY,http://stagnes.wcdsb.ca,-80.5022224855819,43.4739024775584
-80.500171986999987,43.474852705000046,3,80 BLUEVALE ST N,Bluevale Collegiate,PUBLIC,SECONDARY,http://bci.wrdsb.ca,-80.500171986835,43.4748527047116
-80.510326892999956,43.48324356300003,4,280 GLENRIDGE DR,Mere-Elisabeth-Bruyere,FRENCH SEPARATE,ELEMENTARY,http://www.csdccs.edu.on.ca/,-80.510326893315,43.4832435634468
-80.508717974999968,43.47225982100008,5,158 BRIDGEPORT RD E,Ecole LHarmonie,PRIVATE,ELEMENTARY,http://www.wrdsb.ca/,-80.508717974625,43.4722598208123
-80.506572134999942,43.507109724000031,6,520 CHESAPEAKE DR,Lester B. Pearson Public School,PUBLIC,ELEMENTARY,http://lbp.wrdsb.ca,-80.5065721352879,43.5071097240327
-80.566232246999959,43.448959222000042,7,600 ERB ST W,K-W Bilingual,PRIVATE,ELEMENTARY,http://www.wcdsb.ca/,-80.5662322465256,43.4489592223507
-80.525775426999985,43.470644523000033,8,32 CENTRAL ST,MacGregor Public School,PUBLIC,ELEMENTARY,http://www.wrdsb.ca/,-80.5257754269428,43.470644522861
-80.530276622999963,43.458944953000071,9,165 LOURDES ST,Our Lady of Lourdes Catholic School,CATHOLIC,ELEMENTARY,http://lourdes.wcdsb.ca,-80.5302766226623,43.4589449526761
-80.597153998999943,43.46985595700005,10,710 LAURELWOOD DR,Abraham Erb Public School,PUBLIC,ELEMENTARY,http://abe.wrdsb.ca,-80.5971539992769,43.4698559574418
-80.552458944999955,43.460781930000053,11,135 AMOS AVE,Centennial Public School,PUBLIC,ELEMENTARY,http://cnw.wrdsb.ca,-80.5524589449455,43.4607819296567
-80.545961832999978,43.459836706000033,12,323 KEATS WAY,Keatsway Public School,PUBLIC,ELEMENTARY,http://kea.wrdsb.ca,-80.5459618331547,43.4598367060979
-80.50609588399999,43.491688742000065,13,265 SANDOWNE DR,Sandowne Public School,PUBLIC,ELEMENTARY,http://snd.wrdsb.ca,-80.5060958838408,43.4916887419124
-80.504406382999946,43.513392239000041,14,640 NEW HAMPSHIRE ST,Millen Woods Public School,PUBLIC,ELEMENTARY,http://mil.wrdsb.ca,-80.504406382765,43.5133922386745
-80.507756184999948,43.482067285000028,15,270 QUICKFALL DR,Lincoln Heights Public School,PUBLIC,ELEMENTARY,http://lnh.wrdsb.ca,-80.5077561849593,43.4820672850611
-80.553733750999982,43.445195156000068,16,485 THORNDALE DR,Holy Rosary Catholic School,CATHOLIC,ELEMENTARY,http://holyrosary.wcdsb.ca,-80.5537337509952,43.4451951563575
-80.561790136999946,43.489595200000053,17,580 ROLLING HILLS DR,N.A. MacEachern Public School,PUBLIC,ELEMENTARY,http://nam.wrdsb.ca,-80.5617901373745,43.4895951997963
-80.496523349999961,43.501405533000025,18,431 FORESTLAWN RD,Lexington Public School,PUBLIC,ELEMENTARY,http://lex.wrdsb.ca,-80.4965233502176,43.501405532669
-80.577282729999979,43.450546685000063,19,450 BERNAY DR,Edna Staebler Public School,PUBLIC,ELEMENTARY,http://est.wrdsb.ca,-80.5772827295578,43.4505466845843
-80.554536528999961,43.491670872000043,20,660 GLEN FORREST BLVD,Sir Edgar Bauer Catholic School,CATHOLIC,ELEMENTARY,http://siredgarbauer.wcdsb.ca,-80.5545365292327,43.4916708717649
-80.533509221999964,43.455053486000054,21,83 EMPIRE ST,Empire Public School,PUBLIC,ELEMENTARY,http://emp.wrdsb.ca,-80.5335092223914,43.4550534864867
-80.529890481999985,43.479396629000064,22,300 HAZEL ST,Waterloo Collegiate,PUBLIC,SECONDARY,http://wci.wrdsb.ca,-80.5298904815399,43.4793966289107
-80.594470534999971,43.47112385500003,23,650 LAURELWOOD DR,Sir John A. MacDonald Public School,PUBLIC,SECONDARY,http://jam.wrdsb.ca,-80.5944705348881,43.4711238549525
-80.560396783999977,43.444766625000057,24,265 WESTVALE DR,Westvale Public School,PUBLIC,ELEMENTARY,http://wsv.wrdsb.ca,-80.5603967839383,43.4447666252322
-80.58755856099998,43.472085154000069,25,525 LAURELWOOD DR,St. Nicholas Catholic School,CATHOLIC,ELEMENTARY,http://stnicholas.wcdsb.ca/,-80.5875585605809,43.4720851541278
-80.551210442999945,43.487436329000047,26,230 CEDARBRAE AVE,Cedarbrae Public School,PUBLIC,ELEMENTARY,http://ced.wrdsb.ca,-80.5512104432967,43.4874363289637
-80.564387110999974,43.458326355000054,27,475 BRYNHURST BLVD,Mary Johnston Public School,PUBLIC,ELEMENTARY,http://mjp.wrdsb.ca,-80.564387110882,43.4583263550974
-80.566852172999972,43.500107778000029,28,285 BENJAMIN RD,Lutherwood Public School,PUBLIC,,http://www.wrdsb.ca/,-80.566852173412,43.5001077783469
-80.517789002999962,43.479308931000048,29,108 UNIVERSITY AVE E,Conestoga College,COLLEGE,POST SECONDARY,http://www.conestogac.on.ca/,-80.5177890025646,43.4793089313399
-80.517709258999957,43.479339767000056,30,108 UNIVERSITY AVE E,U-Turn Programme - Waterloo,PUBLIC,<Null>,http://www.wrdsb.ca/,-80.5177092589111,43.4793397670603
-80.527587333999975,43.473654387000067,31,75 UNIVERSITY AVE W,Wilfrid Laurier University,UNIVERSITY,POST SECONDARY,http://www.wlu.ca/,-80.5275873342922,43.4736543872672
-80.517641850999951,43.479357295000057,32,108 UNIVERSITY AVE E,Bridges (c/o former UHSS),PUBLIC,<Null>,http://www.wrdsb.ca/,-80.5176418514806,43.4793572950622
-80.544648262999942,43.472228161000032,33,200 UNIVERSITY AVE W,University of Waterloo,UNIVERSITY,POST SECONDARY,http://www.uwaterloo.ca/,-80.5446482632135,43.4722281608929
-80.529466300999957,43.484189255000047,34,4 HIGH ST,St. David Catholic Secondary School,CATHOLIC,SECONDARY,http://www.wcdsb.ca/,-80.5294663007952,43.4841892547921
-80.504311401999985,43.509580352000057,35,550 CHESAPEAKE DR,St. Luke Catholic School,CATHOLIC,ELEMENTARY,http://stluke.wcdsb.ca/,-80.5043114016367,43.5095803524818
-80.494188007999981,43.495288543000072,36,316 AUBURN DR,St. Matthew Catholic School,CATHOLIC,ELEMENTARY,http://stmatthew.wcdsb.ca,-80.4941880084001,43.4952885434409
-80.56514750499997,43.496281042000078,37,98 NORTHLAKE DR,Northlake Woods Public School,PUBLIC,ELEMENTARY,http://nlw.wrdsb.ca,-80.5651475050588,43.4962810419469
-80.575530549999939,43.469242136000048,38,460 BRENTCLIFFE DR,Laurelwood Public School,PUBLIC,ELEMENTARY,http://lrw.wrdsb.ca,-80.5755305504583,43.4692421357618
-80.53425441,43.485903220000068,39,100 MILFORD AVE,Winston Churchill Public School,PUBLIC,ELEMENTARY,http://wcp.wrdsb.ca,-80.5342544099989,43.4859032202024
