OBJECTID,PATH_TYPE,STATUS,SURFACE,LENGTH_M
1001,Virtual Link,Active,,27.640781
1002,Virtual Link,Active,,14.792548
1003,Pedestrian Crossing,Active,,20.522285
1004,Virtual Link,Active,,9.444252
1005,Virtual Link,Active,,9.739181
1006,Pedestrian Crossing,Active,,25.462764
1007,Virtual Link,Active,,11.125759
1008,Virtual Link,Active,,12.178663
1009,Pedestrian Crossing,Active,,13.456111
1010,Pedestrian Crossing,Active,,13.460331
1011,Pedestrian Crossing,Active,,13.463105
1012,Pedestrian Crossing,Active,,14.089548
1013,Virtual Link,Active,,16.904698
1014,Virtual Link,Active,,17.802826
1015,Pedestrian Crossing,Active,,14.354968
1016,Pedestrian Crossing,Active,,13.971302
1017,Virtual Link,Active,,15.915053
1018,Virtual Link,Active,,32.036335
1019,Pedestrian Crossing,Active,,16.380105
1020,Pedestrian Crossing,Active,,10.691855
1021,Virtual Link,Active,,11.919477
1022,Pedestrian Crossing,Active,,11.530397
1023,Virtual Link,Active,,12.18805
1024,Pedestrian Crossing,Active,,9.910731
1025,Pedestrian Crossing,Active,,9.08318
1026,Pedestrian Crossing,Active,,21.058292
1027,Pedestrian Crossing,Active,,13.737812
1028,Virtual Link,Active,,13.431306
1029,Pedestrian Crossing,Active,,11.758177
1030,Pedestrian Crossing,Active,,11.615221
1031,Pedestrian Crossing,Active,,14.977188
1032,Pedestrian Crossing,Active,,13.241171
1033,Pedestrian Crossing,Active,,15.910984
1034,Pedestrian Crossing,Active,,11.785989
1035,Pedestrian Crossing,Active,,12.328608
1036,Virtual Link,Active,,12.985432
1037,Pedestrian Crossing,Active,,14.056716
1038,Pedestrian Crossing,Active,,13.625468
1039,Virtual Link,Active,,12.725875
1040,Pedestrian Crossing,Active,,10.291071
1041,Pedestrian Crossing,Active,,11.010538
1042,Pedestrian Crossing,Active,,22.823752
1043,Pedestrian Crossing,Active,,11.575846
1044,Pedestrian Crossing,Active,,11.169637
1045,Virtual Link,Active,,68.529443
1046,Pedestrian Crossing,Active,,18.161066
1047,Pedestrian Crossing,Active,,8.710892
1048,Pedestrian Crossing,Active,,8.833899
1049,Pedestrian Crossing,Active,,22.810164
1050,Pedestrian Crossing,Active,,8.470016
1051,Virtual Link,Active,,16.719836
1052,Pedestrian Crossing,Active,,26.771856
1053,Virtual Link,Active,,12.787764
1054,Pedestrian Crossing,Active,,12.76276
1055,Virtual Link,Active,,19.649106
1056,Pedestrian Crossing,Active,,15.544337
1057,Pedestrian Crossing,Active,,10.638302
1058,Pedestrian Crossing,Active,,13.788834
1059,Pedestrian Crossing,Active,,28.544877
1060,Virtual Link,Active,,6.297807
1061,Pedestrian Crossing,Active,,17.257766
1062,Pedestrian Crossing,Active,,12.075722
1063,Pedestrian Crossing,Active,,12.174342
1064,Pedestrian Crossing,Active,,11.691401
1065,Pedestrian Crossing,Active,,12.140711
1066,Pedestrian Crossing,Active,,23.478598
1067,Virtual Link,Active,,10.22313
1068,Pedestrian Crossing,Active,,11.517116
1069,Pedestrian Crossing,Active,,9.668682
1070,Virtual Link,Active,,24.958569
1071,Virtual Link,Active,,13.762935
1072,Pedestrian Crossing,Active,,11.809121
1073,Pedestrian Crossing,Active,,21.05989
1074,Pedestrian Crossing,Active,,15.042633
1075,Virtual Link,Active,,7.085486
1076,Virtual Link,Active,,15.588687
1077,Pedestrian Crossing,Active,,14.978295
1078,Pedestrian Crossing,Active,,14.505436
1079,Pedestrian Crossing,Active,,20.510596
1080,Pedestrian Crossing,Active,,11.568639
1081,Pedestrian Crossing,Active,,12.908935
1082,Pedestrian Crossing,Active,,10.071708
1083,Virtual Link,Active,,108.84859
1084,Virtual Link,Active,,10.518248
1085,Virtual Link,Active,,11.901188
1086,Pedestrian Crossing,Active,,14.780417
1087,Pedestrian Crossing,Active,,27.437297
1088,Pedestrian Crossing,Active,,14.624332
1089,Pedestrian Crossing,Active,,12.605831
1090,Virtual Link,Active,,12.491769
1091,Pedestrian Crossing,Active,,11.893128
1092,Virtual Link,Active,,10.982707
1093,Pedestrian Crossing,Active,,16.390025
1094,Pedestrian Crossing,Active,,13.250311
1095,Pedestrian Crossing,Active,,16.52671
1096,Pedestrian Crossing,Active,,26.69748
1097,Pedestrian Crossing,Active,,10.010986
1098,Pedestrian Crossing,Active,,12.399821
1099,Pedestrian Crossing,Active,,8.920531
1100,Pedestrian Crossing,Active,,11.045358
1101,Virtual Link,Active,,15.369567
1102,Virtual Link,Active,,12.816284
1103,Virtual Link,Active,,10.694429
1104,Virtual Link,Active,,8.691625
1105,Pedestrian Crossing,Active,,14.308891
1106,Pedestrian Crossing,Active,,5.402311
1107,Virtual Link,Active,,9.568808
1108,Pedestrian Crossing,Active,,12.253614
1109,Pedestrian Crossing,Active,,9.625302
1110,Pedestrian Crossing,Active,,9.074438
1111,Pedestrian Crossing,Active,,5.056494
1112,Pedestrian Crossing,Active,,32.334793
1113,Pedestrian Crossing,Active,,8.842069
